,Folder,FileName,Label
0,tt0444850,0014,CS
1,tt0444850,0015,CS
2,tt0444850,0016,ECS
3,tt2005185,0014,MS
4,tt2005185,0028,MS
5,tt2005185,0029,FS
6,tt2005185,0033,CS
7,tt2005185,0057,FS
8,tt2005185,0064,MS
9,tt2006040,0002,MS
10,tt2006040,0006,MS
11,tt2006040,0046,MS
12,tt2006040,0047,ECS
13,tt2006040,0052,FS
14,tt2006040,0054,ECS
15,tt2006810,0004,MS
16,tt2006810,0008,MS
17,tt2006810,0025,FS
18,tt2006810,0027,MS
19,tt2006810,0038,FS
20,tt2008513,0006,FS
21,tt2008513,0012,ECS
22,tt2008513,0025,ECS
23,tt2008513,0033,CS
24,tt2008513,0042,ECS
25,tt2008513,0044,MS
26,tt2008513,0045,FS
27,tt2008513,0047,FS
28,tt2010939,0015,ECS
29,tt2010939,0027,ECS
30,tt2011159,0076,MS
31,tt2011953,0008,ECS
32,tt2011953,0010,ECS
33,tt2012011,0002,LS
34,tt2012011,0007,ECS
35,tt2012011,0021,MS
36,tt2012011,0026,ECS
37,tt2012011,0028,LS
38,tt2012011,0033,ECS
39,tt2012011,0046,LS
40,tt2012011,0053,MS
41,tt2014225,0005,MS
42,tt2014225,0012,ECS
43,tt2014225,0021,ECS
44,tt2014225,0043,ECS
45,tt2014225,0052,LS
46,tt2014266,0002,MS
47,tt2014266,0014,ECS
48,tt2014266,0019,MS
49,tt2014266,0021,MS
50,tt2014266,0038,MS
51,tt2014266,0050,FS
52,tt2014266,0053,MS
53,tt2014266,0065,ECS
54,tt2014338,0011,FS
55,tt2014338,0017,CS
56,tt2015370,0016,FS
57,tt2015370,0022,ECS
58,tt2015370,0034,FS
59,tt2015370,0049,CS
60,tt2015370,0054,FS
61,tt2015370,0072,FS
62,tt2015370,0089,ECS
63,tt2015503,0024,MS
64,tt2015503,0030,MS
65,tt2015503,0067,ECS
66,tt2017038,0012,LS
67,tt2017038,0013,CS
68,tt2017038,0027,CS
69,tt2017709,0008,ECS
70,tt2017709,0009,ECS
71,tt2017709,0013,ECS
72,tt2017709,0015,LS
73,tt2017709,0018,ECS
74,tt2017709,0020,LS
75,tt2018164,0002,FS
76,tt2018164,0009,FS
77,tt2018164,0011,ECS
78,tt2023618,0015,MS
79,tt2023618,0026,CS
80,tt2023650,0002,MS
81,tt2024351,0012,MS
82,tt2024351,0022,ECS
83,tt2024351,0024,CS
84,tt2024396,0011,MS
85,tt2024519,0063,ECS
86,tt2024519,0069,FS
87,tt2024519,0077,ECS
88,tt2025667,0011,ECS
89,tt2025667,0020,LS
90,tt2025667,0024,CS
91,tt2025667,0027,ECS
92,tt2028530,0003,CS
93,tt2028530,0008,ECS
94,tt2028530,0012,ECS
95,tt2028530,0016,MS
96,tt2028530,0017,ECS
97,tt2028530,0021,FS
98,tt2028530,0031,MS
99,tt2032506,0005,ECS
100,tt2032506,0023,FS
101,tt2033981,0038,CS
102,tt2033981,0044,FS
103,tt2033981,0069,MS
104,tt2034761,0003,LS
105,tt2034761,0008,LS
106,tt2034761,0017,LS
107,tt2034761,0029,CS
108,tt2036401,0001,FS
109,tt2036401,0002,CS
110,tt2036401,0021,CS
111,tt2036401,0034,FS
112,tt2039369,0002,LS
113,tt2039369,0017,MS
114,tt2039369,0026,MS
115,tt2039369,0037,CS
116,tt2039369,0046,LS
117,tt2039369,0049,CS
118,tt2040504,0004,LS
119,tt2040504,0009,FS
120,tt2040504,0018,MS
121,tt2040504,0028,CS
122,tt2040504,0041,CS
123,tt2040504,0049,LS
124,tt2040504,0052,MS
125,tt2040504,0084,MS
126,tt2040504,0085,LS
127,tt2041331,0005,CS
128,tt2041331,0006,MS
129,tt2041331,0041,MS
130,tt2041331,0049,LS
131,tt2041331,0050,ECS
